//Item key;item id;item meta;label (indicative only)
//This file is auto-generated and indicative only. Don't edit it.

japanesewarriorblueplate;mln61;0;item.ml_japaneseWarriorBluePlate.name
japanesewarriorredboots;mln66;0;item.ml_japaneseWarriorRedBoots.name
japanesewarriorredhelmet;mln64;0;item.ml_japaneseWarriorRedHelmet.name
japanesewarriorredlegs;mln63;0;item.ml_japaneseWarriorRedLegs.name
japanesewarriorredplate;mln65;0;item.ml_japaneseWarriorRedPlate.name
lambcooked;mln89;0;item.ml_lamb_cooked.name
lambraw;mln88;0;item.ml_lamb_raw.name
leather;334;0;Leather
leatherboots;301;0;Leather Boots
leatherchest;299;0;Leather Tunic
leatherhelmet;298;0;Leather Cap
leatherlegs;300;0;Leather Pants
maize;mln40;0;item.ml_maize.name
masa;mln41;0;item.ml_masa.name
mayanaxe;mln55;0;item.ml_mayanAxe.name
mayangold;2919;2;tile.ml_stone_deco.2.name
mayanhoe;mln57;0;item.ml_mayanHoe.name
mayanmace;mln53;0;item.ml_mayanMace.name
mayanpickaxe;mln54;0;item.ml_mayanPickaxe.name
mayanquestcrown;mln95;0;item.ml_mayanQuestCrown.name
mayanshovel;mln56;0;item.ml_mayanShovel.name
mayanstatue;mln39;0;item.ml_mayanstatue.name
melonseeds;362;0;Melon Seeds
melonslice;360;0;Melon
mudbrick;2919;1;tile.ml_stone_deco.1.name
mushroombrown;39;0;Mushroom
mushroomred;40;0;Mushroom
netherwart;372;0;Nether Wart
normanaxe;mln8;0;item.ml_normanAxe.name
normanboots;mln16;0;item.ml_normanBoots.name
normanbroadsword;mln12;0;item.ml_normanBroadsword.name
normanchest;mln14;0;item.ml_normanPlate.name
normanhelmet;mln13;0;item.ml_normanHelmet.name
normanhoe;mln10;0;item.ml_normanHoe.name
normanlegs;mln15;0;item.ml_normanLegs.name
normanpickaxe;mln7;0;item.ml_normanPickaxe.name
normanshovel;mln9;0;item.ml_normanShovel.name
obsidian;49;0;Obsidian
obsidianflake;mln52;0;item.ml_obsidianFlake.name
painting;321;0;Painting
paper;339;0;Paper
paperwall;2921;0;tile.ml_panes.name
parchmentbuildings;mln18;0;item.ml_parchmentBuildings.name
parchmentcomplete;mln20;0;item.ml_marchmentComplete.name
parchmentindianbuildings;mln36;0;item.ml_parchmentIndianBuildings.name
parchmentindiancomplete;mln38;0;item.ml_marchmentIndianComplete.name
parchmentindianitems;mln37;0;item.ml_parchmentIndianItems.name
parchmentindianvillagers;mln35;0;item.ml_parchmentIndianVillagers.name
parchmentitems;mln19;0;item.ml_parchmentItems.name
parchmentjapanesebuildings;mln72;0;item.ml_parchmentJapaneseBuildings.name
parchmentjapanesecomplete;mln74;0;item.ml_parchmentJapaneseComplete.name
parchmentjapaneseitems;mln73;0;item.ml_parchmentJapaneseItems.name
parchmentjapanesevillagers;mln71;0;item.ml_parchmentJapaneseVillagers.name
parchmentmayanbuildings;mln44;0;item.ml_parchmentMayanBuildings.name
parchmentmayancomplete;mln46;0;item.ml_parchmentMayanComplete.name
parchmentmayanitems;mln45;0;item.ml_parchmentMayanItems.name
parchmentmayanvillagers;mln43;0;item.ml_parchmentMayanVillagers.name
parchmentsadhu;mln47;0;item.ml_parchmentSadhu.name
parchmentvillagers;mln17;0;item.ml_parchmentVillagers.name
pathdirt;2925;0;tile.ml_path.0.name
pathdirt_slab;2926;0;tile.ml_path_slab.0.name
pathdirt_slab_stable;2926;8;tile.ml_path_slab.8.name
pathdirt_stable;2925;8;tile.ml_path.8.name
pathgravel;2925;1;tile.ml_path.1.name
pathgravel_slab;2926;1;tile.ml_path_slab.1.name
pathgravel_slab_stable;2926;9;tile.ml_path_slab.9.name
pathgravel_stable;2925;9;tile.ml_path.9.name
pathgravelslabs;2925;5;tile.ml_path.5.name
pathgravelslabs_slab;2926;5;tile.ml_path_slab.5.name
pathgravelslabs_slab_stable;2926;13;tile.ml_path_slab.13.name
pathgravelslabs_stable;2925;13;tile.ml_path.13.name
pathochretiles;2925;4;tile.ml_path.4.name
pathochretiles_slab;2926;4;tile.ml_path_slab.4.name
pathochretiles_slab_stable;2926;12;tile.ml_path_slab.12.name
pathochretiles_stable;2925;12;tile.ml_path.12.name
pathsandstone;2925;3;tile.ml_path.3.name
pathsandstone_slab;2926;3;tile.ml_path_slab.3.name
pathsandstone_slab_stable;2926;11;tile.ml_path_slab.11.name
pathsandstone_stable;2925;11;tile.ml_path.11.name
pathslabs;2925;2;tile.ml_path.2.name
pathslabs_slab;2926;2;tile.ml_path_slab.2.name
pathslabs_slab_stable;2926;10;tile.ml_path_slab.10.name
pathslabs_stable;2925;10;tile.ml_path.10.name
planks_birch;5;2;Birch Wood Planks
planks_jungle;5;3;Jungle Wood Planks
planks_oak;5;0;Oak Wood Planks
planks_pine;5;1;Spruce Wood Planks
porkchops;319;0;Raw Porkchop
porkchopscooked;320;0;Cooked Porkchop
potato;392;0;Potato
pumpkin;86;0;Pumpkin
pumpkinseeds;361;0;Pumpkin Seeds
purse;mln92;0;item.ml_purse.name
rasgulla;mln33;0;item.ml_rasgullaId.name
redflower;38;0;Rose
redstone;331;0;Redstone
rice;mln28;0;item.ml_rice.name
rottenflesh;367;0;Rotten Flesh
saddle;73;0;Redstone Ore
sake;mln93;0;item.ml_sake.name
sand;12;0;Sand
sandstone;24;0;Sandstone
sapling;6;0;Oak Sapling
sapling_birch;6;2;Birch Sapling
sapling_jungle;6;3;Jungle Sapling
sapling_pine;6;1;Spruce Sapling
seeds;295;0;Seeds
shears;359;0;Shears
silk;mln77;0;item.ml_silk.name
silkwormblockempty;2917;3;tile.ml_wood_deco.3.name
silkwormblockfull;2917;4;tile.ml_wood_deco.4.name
skollhatiamulet;mln26;0;item.ml_skoll_hati_amulet.name
slimeball;341;0;Slimeball
snow;78;0;Snow
souvlaki;mln91;0;item.ml_souvlaki.name
spidereye;375;0;Spider Eye
steelaxe;258;0;Iron Axe
steelboots;309;0;Iron Boots
steelchest;307;0;Iron Chestplate
steelhelmet;306;0;Iron Helmet
steelhoe;292;0;Iron Hoe
steellegs;308;0;Iron Leggings
steelpickaxe;257;0;Iron Pickaxe
steelshovel;256;0;Iron Shovel
steelsword;267;0;Iron Sword
stone;1;0;Stone
stoneaxe;275;0;Stone Axe
stonebrick;98;0;Stone Bricks
stonehoe;291;0;Stone Hoe
stonepickaxe;274;0;Stone Pickaxe
stoneshovel;273;0;Stone Shovel
stonesword;272;0;Stone Sword
string;287;0;String
sugarcane;338;0;Sugar Canes
tachisword;mln50;0;item.ml_taichiSword.name
tapestry;mln22;0;item.ml_tapestry.name
thatched;2917;2;tile.ml_wood_deco.2.name
timberframe_cross;2917;1;tile.ml_wood_deco.1.name
timberframe_plain;2917;0;tile.ml_wood_deco.0.name
tnt;46;0;TNT
tripes;mln6;0;item.ml_tripes.name
turmeric;mln29;0;item.ml_turmeric.name
udon;mln49;0;item.ml_udon.name
unknownpowder;mln48;0;item.ml_unknownPowder.name
vegcurry;mln30;0;item.ml_vegcurry.name
villagewand;mln11;0;item.ml_villageWand.name
vines;106;0;Vines
vishnuamulet;mln23;0;item.ml_raven_amulet.name
wah;mln42;0;item.ml_wah.name
wheat;296;0;Wheat
wine;mln76;0;item.ml_wine.name
winebasic;mln87;0;item.ml_wine_basic.name
wood;17;0;
wood_any;17;-1;
wood_birch;17;2;
wood_jungle;17;3;
wood_oak;17;0;
wood_pine;17;1;
woodaxe;271;0;Wooden Axe
woodhoe;290;0;Wooden Hoe
woodpickaxe;270;0;Wooden Pickaxe
woodshovel;269;0;Wooden Shovel
woodsword;268;0;Wooden Sword
wool_black;35;15;Black Wool
wool_blue;35;11;Blue Wool
wool_brown;35;12;Brown Wool
wool_cyan;35;9;Cyan Wool
wool_gray;35;7;Gray Wool
wool_green;35;13;Green Wool
wool_lightblue;35;3;Light Blue Wool
wool_lightgray;35;8;Light Gray Wool
wool_limegreen;35;5;Lime Wool
wool_magenta;35;2;Magenta Wool
wool_orange;35;1;Orange Wool
wool_pink;35;6;Pink Wool
wool_purple;35;10;Purple Wool
wool_red;35;14;Red Wool
wool_white;35;0;Wool
wool_yellow;35;4;Yellow Wool
yddrasilamulet;mln25;0;item.ml_yddrasil_amulet.name
yellowflower;37;0;Flower
yumibow;mln58;0;item.ml_yumiBow.name
